,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Loss-Trimmer Voting,0.0305016,0.030448,0.399856,0.321024,0.062672,0.178768,0.09624,0.179424,0.179424,0.179424,0.179424,0.178768,0.179424,0.178768,0.32544,0.178768,0.179424,0.274864,0.20744,0.098592,0.1516,0.087872,0.006736,0.013648,0.0996,0.019824,0.001568,0.001136,0.004352,0.085184,0.001984,0.00736,0.017024,0.006112,0.025008,0.004336,0.001936,0.006048,0.001936,0.006112,0.007408,0.002256,0.009648,0.002,0.01776,0.00144,0.001712,0.021488,0.021488,0.01552,0.01552,0.0,0.012064,0.019888,0.014688,0.013504,0.007632,0.00144,0.023568,0.004896,0.015696,0.00224,0.08176,0.111856,0.056,0.034512,0.01856
Daunou,0.031339200000000005,0.031376,0.39936,0.32104,0.066144,0.171632,0.09328,0.172176,0.172176,0.172176,0.172176,0.171632,0.172176,0.171632,0.323264,0.171632,0.172176,0.274048,0.211264,0.102384,0.155328,0.087984,0.01008,0.014736,0.099456,0.02824,0.011696,0.011888,0.01232,0.08792,0.01176,0.010176,0.02232,0.013232,0.027088,0.013184,0.012432,0.012944,0.012368,0.013232,0.013472,0.012176,0.014176,0.012432,0.021808,0.01208,0.012016,0.023904,0.023904,0.022608,0.022608,0.012064,0.0,0.02336,0.0148,0.014288,0.01,0.01208,0.016432,0.012864,0.022544,0.012192,0.087024,0.116944,0.05936,0.032976,0.019264
Blacks,0.021310399999999997,0.021392,0.399744,0.321184,0.042784,0.186992,0.093456,0.186384,0.186384,0.186384,0.186384,0.186992,0.186384,0.186992,0.319952,0.186992,0.186384,0.277008,0.201856,0.09664,0.140944,0.097488,0.021184,0.023984,0.111088,0.028608,0.02048,0.019984,0.019312,0.096848,0.020864,0.022208,0.003552,0.0208,0.0304,0.01896,0.01976,0.021632,0.01984,0.0208,0.021648,0.019904,0.022624,0.019856,0.021504,0.019536,0.01968,0.028368,0.028368,0.012896,0.012896,0.019888,0.02336,0.0,0.024304,0.024272,0.02224,0.019536,0.031792,0.018704,0.006352,0.018048,0.077728,0.117408,0.048176,0.043296,0.026624
Condorcet IRV,0.027751200000000004,0.027776,0.399392,0.32056,0.067088,0.17256,0.08656,0.173072,0.173072,0.173072,0.173072,0.17256,0.173072,0.17256,0.323008,0.17256,0.173072,0.2732,0.213664,0.103088,0.157232,0.073184,0.01104,0.00208,0.09216,0.030128,0.014352,0.014528,0.015248,0.090976,0.014224,0.009904,0.023152,0.015728,0.027952,0.015776,0.014848,0.015136,0.014928,0.015728,0.015632,0.0148,0.016448,0.014976,0.02112,0.01448,0.014512,0.025088,0.025088,0.022512,0.022512,0.014688,0.0148,0.024304,0.0,0.002208,0.009488,0.01448,0.01736,0.015616,0.022304,0.0148,0.087264,0.117408,0.059904,0.029968,0.014336
Condorcet IRV PUT,0.028706399999999997,0.028704,0.39944,0.320496,0.067056,0.173168,0.087824,0.173824,0.173824,0.173824,0.173824,0.173168,0.173824,0.173168,0.3236,0.173168,0.173824,0.27328,0.212992,0.102784,0.15704,0.075392,0.010512,0.00392,0.09232,0.029248,0.013152,0.013424,0.014272,0.089456,0.01296,0.008944,0.023088,0.014256,0.026928,0.014688,0.01352,0.0136,0.013568,0.014256,0.014032,0.013504,0.014848,0.013632,0.02056,0.013312,0.013344,0.023872,0.023872,0.022384,0.022384,0.013504,0.014288,0.024272,0.002208,0.0,0.00864,0.013312,0.017968,0.014704,0.022288,0.013616,0.08696,0.116528,0.059792,0.030352,0.0148
Smith IRV,0.0332184,0.0332,0.399584,0.320688,0.065024,0.17728,0.094512,0.178,0.178,0.178,0.178,0.17728,0.178,0.17728,0.32568,0.17728,0.178,0.27432,0.20872,0.100064,0.153664,0.082672,0.007136,0.009264,0.096992,0.02488,0.007088,0.00744,0.008544,0.084816,0.007008,0.000496,0.020816,0.008832,0.024736,0.00912,0.007904,0.007824,0.00792,0.008832,0.008576,0.007808,0.009248,0.007968,0.020096,0.007584,0.007568,0.021104,0.021104,0.019984,0.019984,0.007632,0.01,0.02224,0.009488,0.00864,0.0,0.007584,0.02208,0.00912,0.020128,0.007808,0.08432,0.11312,0.058368,0.034608,0.018656
Smith-Minimax,0.0307464,0.030688,0.399872,0.320992,0.06232,0.178704,0.09608,0.179376,0.179376,0.179376,0.179376,0.178704,0.179376,0.178704,0.325632,0.178704,0.179376,0.274816,0.207232,0.098416,0.15144,0.087664,0.006624,0.013552,0.0996,0.019696,0.001904,0.001088,0.003328,0.085152,0.002832,0.007328,0.016688,0.006048,0.02496,0.004112,0.00168,0.005968,0.001856,0.006048,0.007344,0.002032,0.009616,0.001952,0.017728,0.0,0.000272,0.021472,0.021472,0.014576,0.014576,0.00144,0.01208,0.019536,0.01448,0.013312,0.007584,0.0,0.023504,0.003904,0.01536,0.00168,0.081472,0.111744,0.055328,0.034528,0.018576
Condorcet Plurality,0.025228800000000003,0.02528,0.398672,0.320608,0.074576,0.1552,0.087536,0.157568,0.157568,0.157568,0.157568,0.1552,0.157568,0.1552,0.320592,0.1552,0.157568,0.271968,0.221328,0.107616,0.163568,0.090544,0.021168,0.018448,0.10016,0.036816,0.023248,0.023424,0.023664,0.098816,0.02336,0.022256,0.03064,0.024256,0.031184,0.024208,0.023712,0.023968,0.02368,0.024256,0.024336,0.023504,0.02504,0.02376,0.024576,0.023504,0.023424,0.029088,0.029088,0.028592,0.028592,0.023568,0.016432,0.031792,0.01736,0.017968,0.02208,0.023504,0.0,0.024032,0.029552,0.024032,0.092672,0.123856,0.064224,0.026272,0.013664
Copeland-Local-Borda,0.027959199999999997,0.02792,0.399904,0.3208,0.061488,0.179232,0.095456,0.179632,0.179632,0.179632,0.179632,0.179232,0.179632,0.179232,0.324288,0.179232,0.179632,0.275136,0.207376,0.097968,0.150832,0.0888,0.007952,0.014624,0.100864,0.019008,0.00544,0.00448,0.001744,0.08704,0.006288,0.008816,0.015488,0.008832,0.026224,0.002016,0.004496,0.008736,0.00464,0.008832,0.010112,0.004512,0.011536,0.004704,0.018144,0.003904,0.004144,0.023056,0.023056,0.012768,0.012768,0.004896,0.012864,0.018704,0.015616,0.014704,0.00912,0.003904,0.024032,0.0,0.012752,0.004816,0.080688,0.11216,0.054512,0.034768,0.01752
Copeland-Global-Borda,0.0173016,0.01736,0.399936,0.321232,0.049136,0.184752,0.09192,0.184304,0.184304,0.184304,0.184304,0.184752,0.184304,0.184752,0.319792,0.184752,0.184304,0.276288,0.205904,0.095584,0.144352,0.095488,0.017872,0.021504,0.10848,0.026816,0.016656,0.015872,0.013696,0.096608,0.017344,0.019856,0.003424,0.019648,0.030576,0.01296,0.015504,0.019616,0.015632,0.019648,0.020864,0.015792,0.022336,0.01568,0.018272,0.01536,0.015616,0.02856,0.02856,0.00688,0.00688,0.015696,0.022544,0.006352,0.022304,0.022288,0.020128,0.01536,0.029552,0.012752,0.0,0.015312,0.077232,0.116864,0.049824,0.03976,0.02264
Borda-Minimax Faceoff,0.031193600000000005,0.031136,0.399824,0.320944,0.060832,0.179232,0.096704,0.179888,0.179888,0.179888,0.179888,0.179232,0.179888,0.179232,0.325744,0.179232,0.179888,0.274976,0.206224,0.098496,0.150608,0.087984,0.006944,0.013968,0.100128,0.019552,0.0028,0.002208,0.004416,0.084656,0.003344,0.007568,0.015472,0.006528,0.024576,0.004768,0.002544,0.005712,0.002672,0.006528,0.00728,0.00272,0.00912,0.002768,0.018032,0.00168,0.001856,0.020976,0.020976,0.015648,0.015648,0.00224,0.012192,0.018048,0.0148,0.013616,0.007808,0.00168,0.024032,0.004816,0.015312,0.0,0.081424,0.1116,0.054976,0.035152,0.01944
