,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
PluralityWRunoff PUT,0.043519999999999996,0.27845333333333333,0.04765333333333333,0.06445333333333333,0.0474,0.06908,0.06908,0.06908,0.06908,0.06445333333333333,0.06908,0.06445333333333333,0.28570666666666666,0.06445333333333333,0.06908,0.21589333333333333,0.24036,0.08969333333333333,0.11430666666666667,0.02092,0.00984,0.010613333333333334,0.0,0.009866666666666666,0.009866666666666666,0.009866666666666666,0.009866666666666666,0.06258666666666667,0.009866666666666666,0.009866666666666666,0.024666666666666667,0.009866666666666666,0.03385333333333333,0.009866666666666666,0.009866666666666666,0.009866666666666666,0.009866666666666666,0.009866666666666666,0.009866666666666666,0.009866666666666666,0.009866666666666666,0.009866666666666666,0.026613333333333333,0.009866666666666666,0.009866666666666666,0.030466666666666666,0.030466666666666666,0.026826666666666665,0.026826666666666665,0.009866666666666666,0.01324,0.024666666666666667,0.010613333333333334,0.010546666666666666,0.009866666666666666,0.009866666666666666,0.02372,0.009866666666666666,0.024666666666666667,0.009866666666666666,0.0896,0.13750666666666667,0.07329333333333334,0.02568,0.023413333333333335
Coombs,0.036466666666666675,0.27864,0.04262666666666667,0.07142666666666667,0.05592,0.07568,0.07568,0.07568,0.07568,0.07142666666666667,0.07568,0.07142666666666667,0.28561333333333333,0.07142666666666667,0.07568,0.2168,0.24108,0.08226666666666667,0.10790666666666666,0.03021333333333333,0.00022666666666666666,0.00356,0.009866666666666666,0.0,0.0,0.0,0.0,0.054893333333333336,0.0,0.0,0.016586666666666666,0.0,0.025026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.02156,0.02156,0.017426666666666667,0.017426666666666667,0.0,0.0041066666666666665,0.016586666666666666,0.00356,0.0034666666666666665,0.0,0.0,0.016586666666666666,0.0,0.016586666666666666,0.0,0.08212,0.13578666666666667,0.06673333333333334,0.018586666666666668,0.016306666666666667
Baldwin,0.036466666666666675,0.27864,0.04262666666666667,0.07142666666666667,0.05592,0.07568,0.07568,0.07568,0.07568,0.07142666666666667,0.07568,0.07142666666666667,0.28561333333333333,0.07142666666666667,0.07568,0.2168,0.24108,0.08226666666666667,0.10790666666666666,0.03021333333333333,0.00022666666666666666,0.00356,0.009866666666666666,0.0,0.0,0.0,0.0,0.054893333333333336,0.0,0.0,0.016586666666666666,0.0,0.025026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.02156,0.02156,0.017426666666666667,0.017426666666666667,0.0,0.0041066666666666665,0.016586666666666666,0.00356,0.0034666666666666665,0.0,0.0,0.016586666666666666,0.0,0.016586666666666666,0.0,0.08212,0.13578666666666667,0.06673333333333334,0.018586666666666668,0.016306666666666667
Strict Nanson,0.036466666666666675,0.27864,0.04262666666666667,0.07142666666666667,0.05592,0.07568,0.07568,0.07568,0.07568,0.07142666666666667,0.07568,0.07142666666666667,0.28561333333333333,0.07142666666666667,0.07568,0.2168,0.24108,0.08226666666666667,0.10790666666666666,0.03021333333333333,0.00022666666666666666,0.00356,0.009866666666666666,0.0,0.0,0.0,0.0,0.054893333333333336,0.0,0.0,0.016586666666666666,0.0,0.025026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.02156,0.02156,0.017426666666666667,0.017426666666666667,0.0,0.0041066666666666665,0.016586666666666666,0.00356,0.0034666666666666665,0.0,0.0,0.016586666666666666,0.0,0.016586666666666666,0.0,0.08212,0.13578666666666667,0.06673333333333334,0.018586666666666668,0.016306666666666667
Weak Nanson,0.036466666666666675,0.27864,0.04262666666666667,0.07142666666666667,0.05592,0.07568,0.07568,0.07568,0.07568,0.07142666666666667,0.07568,0.07142666666666667,0.28561333333333333,0.07142666666666667,0.07568,0.2168,0.24108,0.08226666666666667,0.10790666666666666,0.03021333333333333,0.00022666666666666666,0.00356,0.009866666666666666,0.0,0.0,0.0,0.0,0.054893333333333336,0.0,0.0,0.016586666666666666,0.0,0.025026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.02156,0.02156,0.017426666666666667,0.017426666666666667,0.0,0.0041066666666666665,0.016586666666666666,0.00356,0.0034666666666666665,0.0,0.0,0.016586666666666666,0.0,0.016586666666666666,0.0,0.08212,0.13578666666666667,0.06673333333333334,0.018586666666666668,0.016306666666666667
Iterated Removal Condorcet Loser,0.08619999999999998,0.27826666666666666,0.08808,0.11142666666666666,0.10233333333333333,0.11674666666666667,0.11674666666666667,0.11674666666666667,0.11674666666666667,0.11142666666666666,0.11674666666666667,0.11142666666666666,0.29577333333333333,0.11142666666666666,0.11674666666666667,0.22773333333333334,0.20258666666666666,0.11698666666666667,0.13616,0.07918666666666667,0.05508,0.057813333333333335,0.06258666666666667,0.054893333333333336,0.054893333333333336,0.054893333333333336,0.054893333333333336,0.0,0.054893333333333336,0.054893333333333336,0.06910666666666666,0.054893333333333336,0.07032,0.054893333333333336,0.054893333333333336,0.054893333333333336,0.054893333333333336,0.054893333333333336,0.054893333333333336,0.054893333333333336,0.054893333333333336,0.054893333333333336,0.07037333333333333,0.054893333333333336,0.054893333333333336,0.06776,0.06776,0.06993333333333333,0.06993333333333333,0.054893333333333336,0.05656,0.06910666666666666,0.057813333333333335,0.05774666666666667,0.054893333333333336,0.054893333333333336,0.06909333333333334,0.054893333333333336,0.06910666666666666,0.054893333333333336,0.11682666666666666,0.15014666666666668,0.10672,0.07084,0.06890666666666667
Raynaud,0.036466666666666675,0.27864,0.04262666666666667,0.07142666666666667,0.05592,0.07568,0.07568,0.07568,0.07568,0.07142666666666667,0.07568,0.07142666666666667,0.28561333333333333,0.07142666666666667,0.07568,0.2168,0.24108,0.08226666666666667,0.10790666666666666,0.03021333333333333,0.00022666666666666666,0.00356,0.009866666666666666,0.0,0.0,0.0,0.0,0.054893333333333336,0.0,0.0,0.016586666666666666,0.0,0.025026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.02156,0.02156,0.017426666666666667,0.017426666666666667,0.0,0.0041066666666666665,0.016586666666666666,0.00356,0.0034666666666666665,0.0,0.0,0.016586666666666666,0.0,0.016586666666666666,0.0,0.08212,0.13578666666666667,0.06673333333333334,0.018586666666666668,0.016306666666666667
Tideman Alternative Top Cycle,0.036466666666666675,0.27864,0.04262666666666667,0.07142666666666667,0.05592,0.07568,0.07568,0.07568,0.07568,0.07142666666666667,0.07568,0.07142666666666667,0.28561333333333333,0.07142666666666667,0.07568,0.2168,0.24108,0.08226666666666667,0.10790666666666666,0.03021333333333333,0.00022666666666666666,0.00356,0.009866666666666666,0.0,0.0,0.0,0.0,0.054893333333333336,0.0,0.0,0.016586666666666666,0.0,0.025026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.02156,0.02156,0.017426666666666667,0.017426666666666667,0.0,0.0041066666666666665,0.016586666666666666,0.00356,0.0034666666666666665,0.0,0.0,0.016586666666666666,0.0,0.016586666666666666,0.0,0.08212,0.13578666666666667,0.06673333333333334,0.018586666666666668,0.016306666666666667
Knockout Voting,0.01987999999999999,0.27869333333333335,0.02604,0.06968,0.04173333333333333,0.07090666666666667,0.07090666666666667,0.07090666666666667,0.07090666666666667,0.06968,0.07090666666666667,0.06968,0.28018666666666664,0.06968,0.07090666666666667,0.21666666666666667,0.24898666666666666,0.07576,0.10641333333333333,0.042453333333333336,0.016626666666666668,0.0158,0.024666666666666667,0.016586666666666666,0.016586666666666666,0.016586666666666666,0.016586666666666666,0.06910666666666666,0.016586666666666666,0.016586666666666666,0.0,0.016586666666666666,0.030093333333333333,0.016586666666666666,0.016586666666666666,0.016586666666666666,0.016586666666666666,0.016586666666666666,0.016586666666666666,0.016586666666666666,0.016586666666666666,0.016586666666666666,0.018813333333333335,0.016586666666666666,0.016586666666666666,0.028053333333333333,0.028053333333333333,0.0118,0.0118,0.016586666666666666,0.016013333333333334,0.0,0.0158,0.01572,0.016586666666666666,0.016586666666666666,0.01484,0.016586666666666666,0.0,0.016586666666666666,0.07558666666666666,0.15082666666666666,0.05774666666666667,0.015146666666666666,0.014573333333333334
Banks,0.036466666666666675,0.27864,0.04262666666666667,0.07142666666666667,0.05592,0.07568,0.07568,0.07568,0.07568,0.07142666666666667,0.07568,0.07142666666666667,0.28561333333333333,0.07142666666666667,0.07568,0.2168,0.24108,0.08226666666666667,0.10790666666666666,0.03021333333333333,0.00022666666666666666,0.00356,0.009866666666666666,0.0,0.0,0.0,0.0,0.054893333333333336,0.0,0.0,0.016586666666666666,0.0,0.025026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.02156,0.02156,0.017426666666666667,0.017426666666666667,0.0,0.0041066666666666665,0.016586666666666666,0.00356,0.0034666666666666665,0.0,0.0,0.016586666666666666,0.0,0.016586666666666666,0.0,0.08212,0.13578666666666667,0.06673333333333334,0.018586666666666668,0.016306666666666667
Condorcet,0.036466666666666675,0.2788,0.056133333333333334,0.08468,0.058346666666666665,0.08644,0.08644,0.08644,0.08644,0.08468,0.08644,0.08468,0.28561333333333333,0.08468,0.08644,0.22233333333333333,0.23568,0.09592,0.12236,0.052693333333333335,0.025106666666666666,0.02604,0.03385333333333333,0.025026666666666666,0.025026666666666666,0.025026666666666666,0.025026666666666666,0.07032,0.025026666666666666,0.025026666666666666,0.030093333333333333,0.025026666666666666,0.0,0.025026666666666666,0.025026666666666666,0.025026666666666666,0.025026666666666666,0.025026666666666666,0.025026666666666666,0.025026666666666666,0.025026666666666666,0.025026666666666666,0.030533333333333332,0.025026666666666666,0.025026666666666666,0.008053333333333332,0.008053333333333332,0.030573333333333334,0.030573333333333334,0.025026666666666666,0.026346666666666668,0.030093333333333333,0.02604,0.026013333333333333,0.025026666666666666,0.025026666666666666,0.02984,0.025026666666666666,0.030093333333333333,0.025026666666666666,0.09576,0.16012,0.07952,0.03072,0.029826666666666668
Copeland,0.036466666666666675,0.27864,0.04262666666666667,0.07142666666666667,0.05592,0.07568,0.07568,0.07568,0.07568,0.07142666666666667,0.07568,0.07142666666666667,0.28561333333333333,0.07142666666666667,0.07568,0.2168,0.24108,0.08226666666666667,0.10790666666666666,0.03021333333333333,0.00022666666666666666,0.00356,0.009866666666666666,0.0,0.0,0.0,0.0,0.054893333333333336,0.0,0.0,0.016586666666666666,0.0,0.025026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.02156,0.02156,0.017426666666666667,0.017426666666666667,0.0,0.0041066666666666665,0.016586666666666666,0.00356,0.0034666666666666665,0.0,0.0,0.016586666666666666,0.0,0.016586666666666666,0.0,0.08212,0.13578666666666667,0.06673333333333334,0.018586666666666668,0.016306666666666667
Llull,0.036466666666666675,0.27864,0.04262666666666667,0.07142666666666667,0.05592,0.07568,0.07568,0.07568,0.07568,0.07142666666666667,0.07568,0.07142666666666667,0.28561333333333333,0.07142666666666667,0.07568,0.2168,0.24108,0.08226666666666667,0.10790666666666666,0.03021333333333333,0.00022666666666666666,0.00356,0.009866666666666666,0.0,0.0,0.0,0.0,0.054893333333333336,0.0,0.0,0.016586666666666666,0.0,0.025026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.02156,0.02156,0.017426666666666667,0.017426666666666667,0.0,0.0041066666666666665,0.016586666666666666,0.00356,0.0034666666666666665,0.0,0.0,0.016586666666666666,0.0,0.016586666666666666,0.0,0.08212,0.13578666666666667,0.06673333333333334,0.018586666666666668,0.016306666666666667
Uncovered Set,0.036466666666666675,0.27864,0.04262666666666667,0.07142666666666667,0.05592,0.07568,0.07568,0.07568,0.07568,0.07142666666666667,0.07568,0.07142666666666667,0.28561333333333333,0.07142666666666667,0.07568,0.2168,0.24108,0.08226666666666667,0.10790666666666666,0.03021333333333333,0.00022666666666666666,0.00356,0.009866666666666666,0.0,0.0,0.0,0.0,0.054893333333333336,0.0,0.0,0.016586666666666666,0.0,0.025026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.02156,0.02156,0.017426666666666667,0.017426666666666667,0.0,0.0041066666666666665,0.016586666666666666,0.00356,0.0034666666666666665,0.0,0.0,0.016586666666666666,0.0,0.016586666666666666,0.0,0.08212,0.13578666666666667,0.06673333333333334,0.018586666666666668,0.016306666666666667
