step,temperature,current_energy,best_energy,current_state,best_state
710,36.13599426864814,0.217,0.1475,"[1.10321905 0.99352075 0.98921324 0.57754108 0.42387684 0.34579011
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
720,32.95641846391015,0.369,0.1475,"[1.         0.4237178  0.20506936 0.11970293 0.11413587 0.09215361
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
730,30.05661086543531,0.3295,0.1475,"[1.         0.77185712 0.24428044 0.19895429 0.17107768 0.11230293
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
740,27.411954903579595,0.3835,0.1475,"[1.         0.69589438 0.16732201 0.16687227 0.11718114 0.10646142
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
750,24.999999999999986,0.2145,0.1475,"[1.         0.6896863  0.50745346 0.48845993 0.0636487  0.06350479
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
760,22.80027098389772,0.2085,0.1475,"[1.         0.87407475 0.55244292 0.43375366 0.05497393 0.054964
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
770,20.79409427756676,0.2265,0.1475,"[1.         0.87407475 0.87407475 0.69307844 0.6885946  0.43090094
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
780,18.96443937572957,0.261,0.1475,"[1.21889763 0.61614448 0.56539813 0.44616763 0.42653782 0.39398884
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
790,17.295774272973397,0.2045,0.1475,"[1.         0.74719638 0.57910867 0.4055661  0.27046505 0.26249041
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
800,15.773933612004821,0.3785,0.1475,"[1.         0.70397203 0.19290082 0.10992959 0.09064075 0.07414622
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
810,14.385998433428908,0.403,0.1475,"[1.         0.832916   0.11632151 0.11624541 0.11591021 0.08108257
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
820,13.120186506244307,0.1675,0.1475,"[1.         0.66942945 0.6124371  0.27793161 0.09623033 0.0646319
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
830,11.965752308065944,0.1635,0.1475,"[1.         0.78115525 0.7331528  0.53948702 0.30760536 0.23682248
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
840,10.91289580600414,0.3015,0.1475,"[1.         0.34056278 0.34056278 0.319635   0.26350693 0.1341077
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
850,9.95267926383742,0.5075,0.1475,"[1.         0.42404372 0.4233806  0.4233806  0.4217952  0.10093493
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
860,9.076951369252525,0.3025,0.1475,"[1.         0.53959994 0.43153156 0.43153156 0.32165052 0.30267565
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
870,8.278278037064773,0.6295,0.1475,"[1.         0.48918275 0.41420036 0.30214659 0.30214659 0.23120862
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
880,7.549879301005039,0.5865,0.1475,"[1.         0.94474339 0.21026088 0.21026088 0.19754172 0.15252446
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
890,6.885571758345406,0.2095,0.1475,"[1.         1.         0.80712508 0.21026088 0.21026088 0.16521379
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
900,6.279716078773954,0.233,0.1475,"[1.         0.45175895 0.35022428 0.2220218  0.2220218  0.07720462
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
910,5.727169131919428,0.3735,0.1475,"[1.         0.54274163 0.20233546 0.19080304 0.19080304 0.12237438
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
920,5.2232403271350965,0.1695,0.1475,"[1.53769484 1.         0.7056712  0.36331553 0.29231166 0.18661782
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
930,4.763651794908118,0.597,0.1475,"[1.         0.33763772 0.18089662 0.18089662 0.07967741 0.07493319
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
940,4.34450207187344,0.3205,0.1475,"[1.91598382 0.98147595 0.296027   0.23499127 0.13605806 0.07493319
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
950,3.96223298115278,0.289,0.1475,"[1.         1.         0.43686968 0.27883438 0.08312012 0.06918143
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
960,3.61359942686481,0.1985,0.1475,"[1.         0.98740149 0.96483325 0.1788314  0.13445188 0.06380306
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
970,3.295641846391017,0.2575,0.1475,"[1.         0.98740149 0.98513877 0.65153046 0.56855669 0.23925267
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
980,3.0056610865435274,0.401,0.1475,"[1.         0.28710179 0.16005307 0.0875205  0.07644219 0.06521889
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
990,2.741195490357959,0.3975,0.1475,"[1.83501216 0.35344062 0.14265597 0.12772959 0.09855971 0.03307139
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
1000,2.499999999999998,0.2265,0.1475,"[1.         0.59244708 0.54794424 0.06960694 0.06911986 0.06871746
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
