step,temperature,current_energy,best_energy,current_state,best_state
510,228.0027098389772,0.5735,0.263,"[1.         0.89498216 0.89461709 0.89339866 0.84068948 0.46374544
 0.        ]","[1.         0.46298241 0.46298241 0.46021739 0.30542017 0.05949933
 0.        ]"
520,207.94094277566765,0.435,0.263,"[1.         0.23223013 0.16841662 0.13119139 0.13070567 0.08353882
 0.        ]","[1.         0.46298241 0.46298241 0.46021739 0.30542017 0.05949933
 0.        ]"
530,189.64439375729575,0.501,0.263,"[1.         0.99836124 0.99251844 0.12392431 0.09904319 0.06114453
 0.        ]","[1.         0.46298241 0.46298241 0.46021739 0.30542017 0.05949933
 0.        ]"
540,172.957742729734,0.6955,0.263,"[1.         0.39813242 0.39603648 0.30786274 0.16470018 0.16470018
 0.        ]","[1.         0.46298241 0.46298241 0.46021739 0.30542017 0.05949933
 0.        ]"
550,157.73933612004814,0.304,0.263,"[1.5731033  0.39813242 0.39813242 0.36119957 0.35881937 0.16470018
 0.        ]","[1.         0.46298241 0.46298241 0.46021739 0.30542017 0.05949933
 0.        ]"
560,143.85998433428912,0.48,0.263,"[1.         0.96873128 0.96873128 0.1436098  0.14070682 0.1068444
 0.        ]","[1.         0.46298241 0.46298241 0.46021739 0.30542017 0.05949933
 0.        ]"
570,131.2018650624431,0.4265,0.263,"[1.         0.88423182 0.72321913 0.54011063 0.10721379 0.1065974
 0.        ]","[1.         0.46298241 0.46298241 0.46021739 0.30542017 0.05949933
 0.        ]"
580,119.65752308065949,0.7065,0.263,"[1.59144292 0.38731697 0.38731697 0.36385121 0.04152572 0.04152572
 0.        ]","[1.         0.46298241 0.46298241 0.46021739 0.30542017 0.05949933
 0.        ]"
590,109.12895806004144,0.2865,0.263,"[1.17475384 0.57746795 0.29913452 0.23670078 0.12204476 0.01530648
 0.        ]","[1.         0.46298241 0.46298241 0.46021739 0.30542017 0.05949933
 0.        ]"
600,99.5267926383742,0.4015,0.263,"[1.         0.56406151 0.14549463 0.13890547 0.1121088  0.05936077
 0.        ]","[1.         0.46298241 0.46298241 0.46021739 0.30542017 0.05949933
 0.        ]"
610,90.76951369252528,0.4745,0.263,"[1.         0.89684632 0.76862036 0.11850614 0.09988927 0.09840895
 0.        ]","[1.         0.46298241 0.46298241 0.46021739 0.30542017 0.05949933
 0.        ]"
