NN-0,NN-1,NN-2,NN-3,NN-4,NN-5,NN-6,NN-7,NN-8,NN-9,NN-10,NN-11,NN-12,NN-13,NN-14,NN-15,NN-16,NN-17,NN-18,NN-19
0.7744176022242755,0.7388013584422879,0.7035643308772705,0.7368442117003724,0.6993456057971343,0.7619188804528676,0.7458561282837763,0.7662844696897082,0.7130254014045931,0.6485530646168627,0.6999242587480694,0.7853623314294964,0.7088905718410388,0.724540549213998,0.6882186296279542,0.6718012798810378,0.7792835625004955,0.8282199456589296,0.6935232958639972,0.6322672041133046
0.7418187089497223,0.70872517634416,0.698351236525923,0.7030147272744216,0.6718052916694432,0.7095916870166548,0.6958930119872093,0.774561453377828,0.6924303169362247,0.6865229948889464,0.6518076849170029,0.7315528421313502,0.7121410612016916,0.6908701165230013,0.7320548773859628,0.7254680726327933,0.7284526466391981,0.7973654366796836,0.7222618300584145,0.616631397686433
0.7391857409966178,0.6638827261631377,0.6372354589402676,0.6976244461839087,0.6819682943169028,0.6705032436875626,0.6919111926108599,0.707242620177567,0.6630762852728367,0.6389034755993634,0.6726304961484857,0.7401910244952887,0.6909197663189843,0.6781923815142363,0.7189843678497709,0.6813608062802814,0.7023597832885571,0.7853720253915526,0.6950095781357959,0.6170328840962611
0.6612091569113545,0.6805886861402541,0.6190721587045118,0.6703700904035941,0.6390710536506958,0.6769910372677259,0.6557142559322529,0.7306017749360763,0.6564208818017505,0.6178480634698644,0.6783321073162369,0.7064037554664537,0.6523061635671183,0.6284529962576926,0.6705892778700218,0.6857817950076424,0.6814725385629572,0.7734323184704408,0.6714645235333592,0.6255596040864475
0.6701265068841167,0.6785826833802275,0.6640047034015879,0.6022764110239223,0.6285680238506757,0.6559703812235966,0.6450742859742604,0.6657013394287787,0.6487930316943675,0.644778692512773,0.6601258338196203,0.6506801064824685,0.6424642638885416,0.6325752062839456,0.660704041889403,0.6590388934127986,0.6568932180525735,0.7581386553938501,0.6111563025624491,0.5979227977222763
0.6685379865230061,0.6223061103373766,0.6123159765265882,0.6458655380411074,0.5968470855732448,0.6374602778232656,0.6348024297622032,0.6467450534109958,0.5691271854448132,0.6001911382190883,0.6412624453660101,0.7021504712174647,0.6121313280891627,0.610568351810798,0.64198191446485,0.638907189539168,0.6337552889017388,0.7181114007835276,0.6371846707770601,0.5808245205553249
0.63996287365444,0.6295836284989491,0.6115852821967565,0.6410064944648184,0.608509968733415,0.6455550630926155,0.607833924354054,0.6360908566857688,0.5798210720531642,,0.6053310067509301,0.6303618542733602,0.6073227268061601,0.6138277323334478,0.635559203918092,0.6391359513509087,0.6121358519885689,0.7087380891898647,0.5998975395341404,0.561297282576561
0.5996496916050091,0.5893674401449971,0.6173802394769154,0.6265745654236525,0.5758565890137106,0.6219677109620534,0.6081497333361767,0.6129013604368083,0.5713450184557587,,0.6043139757821336,0.6273168460465968,0.6092468971037306,0.591801673755981,0.6040885636466555,0.6502352962852456,0.6318427887163125,0.7066240824642591,0.5836524132173508,0.5938623294932768
0.6297550066956319,0.6106253448524512,0.6139142868341878,0.6195669348817319,0.6070716932299547,0.6294837412424386,0.5879794473294169,0.6210830096970312,0.5755527337314561,,0.5860651619150303,0.6066156523302197,0.5650986414402723,0.5545184882357717,0.6384680659975857,0.599514952278696,0.6204819391132332,0.6896123731858097,0.5879619807237759,0.5913258421351202
0.5797358195413835,0.5529567934572697,0.5645946989534423,0.6181107124430127,0.6040911368327215,,0.5418254359974526,0.6048846956691705,0.5563291451544501,,0.6260484335944057,0.590999523177743,0.6034102676785551,0.5598141110385768,0.6177167068235576,0.6184840557398275,0.6132523959968239,0.6928454700973816,0.604955914139282,0.5317603249568492
0.5709826759411953,0.5779430071124807,0.5731898070662282,0.6268877321854234,0.5844273422262631,,0.5433789616799913,0.5874094670289196,0.5498609882197343,,0.5722827854915522,0.5771112114889547,0.5667370982118882,0.5598093867301941,0.6349104556138627,0.6273499031667598,0.6299200535286218,0.6659662713645957,0.5633957503014244,0.5349049691576511
0.6025269867968746,0.5528405830264091,0.5516341271577403,0.5855420669540763,0.5640801570843905,,0.5591466930345632,0.5614409449044615,0.5138431267114356,,0.5747649726690724,0.5778734582127072,0.5678163626580499,0.5377847777563147,,0.5504849587450735,0.5751590284635313,0.6451714422437362,0.5744457623804919,0.5206826188368723
0.5721418579341844,0.5424680962460116,0.5947331986390054,0.556837578304112,0.5445959671051241,,0.6038658949546516,0.5620546631980687,0.5029661295702681,,0.5834138651844114,0.5907693385379389,0.5518072000122629,0.549926677136682,,0.5893502843682654,0.5841990482877009,0.6279665739857592,0.5581719973124564,
0.5467236924450845,0.561108888417948,,0.588323209725786,0.5389881848241203,,0.5269763913238421,0.5728436985518783,0.5150681947707199,,,0.584137444733642,0.5367309762514196,0.527575166488532,,,0.5725924709695391,0.648475511407014,0.579907896113582,
,0.6003492754534818,,0.5739046019152738,,,,0.537750585062895,0.518747411784716,,,0.5781728314468637,0.5087673125090078,0.5289196677622385,,,0.573029164923355,0.5789153174846433,0.53983232594328,
,0.5918938055983745,,0.5209762963932008,,,,,,,,0.584068582742475,0.5430911601288244,0.5250983160221949,,,0.5799520386499353,0.6304873659391887,0.5498394318856299,
,0.5138705940917134,,,,,,,,,,,0.5083227367722429,,,,0.5857477746903896,0.5908132763579488,0.5292201391421258,
,0.5361615761066787,,,,,,,,,,,0.5502891414798796,,,,0.5337884661275893,0.5829076421796344,,
,0.49580355756916106,,,,,,,,,,,0.512261311407201,,,,0.5458879343350418,0.5405232480843551,,
,0.5531922663212754,,,,,,,,,,,0.5114275311352685,,,,0.5217154818819836,,,
,0.5039790434530005,,,,,,,,,,,0.4701816152082756,,,,0.5128271409193985,,,
,0.5228987198206596,,,,,,,,,,,,,,,0.525797278212849,,,
,,,,,,,,,,,,,,,,0.49658413126599044,,,
