Profile,Winner,Num_Violations,candidate_pairs,candidate_pairs-normalized,candidate_pairs-no_diagonal,candidate_pairs-normalized-no_diagonal,candidate_pairs-normalized-upper_half,binary_pairs,binary_pairs-no_diagonal,binary_pairs-upper_half,rank_matrix,rank_matrix-normalized,Borda ranking Winner,Plurality ranking Winner,STV Winner,Approval Voting (AV) Winner,Proportional Approval Voting (PAV) Winner,Approval Chamberlin-Courant (CC) Winner,Lexicographic Chamberlin-Courant (lex-CC) Winner,Sequential Approval Chamberlin-Courant (seq-CC) Winner,Monroe's Approval Rule (Monroe) Winner,Greedy Monroe Winner,Minimax Approval Voting (MAV) Winner
"[(3, 0, 1, 2, 4), (2, 4, 0, 3, 1), (2, 0, 3, 4, 1), (1, 3, 0, 2, 4), (1, 3, 0, 2, 4), (4, 2, 0, 3, 1), (4, 2, 0, 3, 1), (4, 2, 0, 3, 1), (4, 2, 0, 3, 1), (0, 3, 1, 2, 4)]","(1, 0, 1, 0, 1)",0,"[0, 8, 4, 7, 5, 2, 0, 4, 2, 4, 6, 6, 0, 6, 6, 3, 8, 4, 0, 5, 5, 6, 4, 5, 0]","[0.0, 0.08, 0.04, 0.07, 0.05, 0.02, 0.0, 0.04, 0.02, 0.04, 0.06, 0.06, 0.0, 0.06, 0.06, 0.03, 0.08, 0.04, 0.0, 0.05, 0.05, 0.06, 0.04, 0.05, 0.0]","[8, 4, 7, 5, 2, 4, 2, 4, 6, 6, 6, 6, 3, 8, 4, 5, 5, 6, 4, 5]","[0.08, 0.04, 0.07, 0.05, 0.02, 0.04, 0.02, 0.04, 0.06, 0.06, 0.06, 0.06, 0.03, 0.08, 0.04, 0.05, 0.05, 0.06, 0.04, 0.05]","[0.15686 0.07843 0.13725 0.09804 0.07843 0.03922 0.07843 0.11765 0.11765
 0.09804]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 1, 1, 0]","[1, 2, 7, 0, 0, 2, 0, 2, 0, 6, 2, 4, 0, 4, 0, 1, 3, 1, 5, 0, 4, 1, 0, 1, 4]","[0.02, 0.04, 0.14, 0.0, 0.0, 0.04, 0.0, 0.04, 0.0, 0.12, 0.04, 0.08, 0.0, 0.08, 0.0, 0.02, 0.06, 0.02, 0.1, 0.0, 0.08, 0.02, 0.0, 0.02, 0.08]","(1, 0, 1, 1, 0)","(0, 1, 1, 0, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","(1, 0, 1, 1, 0)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(1, 0, 0, 1, 1)"
"[(3, 2, 4, 1, 0), (3, 4, 1, 2, 0), (2, 0, 3, 4, 1), (2, 3, 0, 4, 1), (0, 2, 3, 4, 1), (4, 3, 2, 1, 0), (4, 3, 1, 2, 0), (4, 1, 3, 2, 0), (2, 0, 3, 4, 1), (1, 4, 3, 2, 0)]","(0, 0, 1, 1, 1)",0,"[0, 4, 1, 3, 4, 6, 0, 4, 2, 1, 9, 6, 0, 4, 5, 7, 8, 6, 0, 6, 6, 9, 5, 4, 0]","[0.0, 0.04, 0.01, 0.03, 0.04, 0.06, 0.0, 0.04, 0.02, 0.01, 0.09, 0.06, 0.0, 0.04, 0.05, 0.07, 0.08, 0.06, 0.0, 0.06, 0.06, 0.09, 0.05, 0.04, 0.0]","[4, 1, 3, 4, 6, 4, 2, 1, 9, 6, 4, 5, 7, 8, 6, 6, 6, 9, 5, 4]","[0.04, 0.01, 0.03, 0.04, 0.06, 0.04, 0.02, 0.01, 0.09, 0.06, 0.04, 0.05, 0.07, 0.08, 0.06, 0.06, 0.06, 0.09, 0.05, 0.04]","[0.11765 0.02941 0.08824 0.11765 0.11765 0.05882 0.02941 0.11765 0.14706
 0.17647]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[1, 2, 1, 0, 6, 1, 1, 2, 2, 4, 3, 2, 1, 4, 0, 2, 3, 5, 0, 0, 3, 2, 1, 4, 0]","[0.02, 0.04, 0.02, 0.0, 0.12, 0.02, 0.02, 0.04, 0.04, 0.08, 0.06, 0.04, 0.02, 0.08, 0.0, 0.04, 0.06, 0.1, 0.0, 0.0, 0.06, 0.04, 0.02, 0.08, 0.0]","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(1, 1, 0, 1, 0)","(0, 0, 1, 1, 1)","(1, 0, 0, 1, 1)","(0, 0, 1, 1, 1)"
"[(0, 1, 4, 3, 2), (1, 0, 4, 3, 2), (4, 3, 1, 0, 2), (3, 2, 4, 1, 0), (3, 4, 2, 1, 0), (0, 1, 4, 3, 2), (0, 1, 4, 3, 2), (0, 1, 4, 3, 2), (0, 1, 4, 3, 2), (2, 3, 4, 1, 0)]","(1, 1, 0, 0, 1)",0,"[0, 5, 7, 6, 6, 5, 0, 7, 6, 6, 3, 3, 0, 1, 2, 4, 4, 9, 0, 3, 4, 4, 8, 7, 0]","[0.0, 0.05, 0.07, 0.06, 0.06, 0.05, 0.0, 0.07, 0.06, 0.06, 0.03, 0.03, 0.0, 0.01, 0.02, 0.04, 0.04, 0.09, 0.0, 0.03, 0.04, 0.04, 0.08, 0.07, 0.0]","[5, 7, 6, 6, 5, 7, 6, 6, 3, 3, 1, 2, 4, 4, 9, 3, 4, 4, 8, 7]","[0.05, 0.07, 0.06, 0.06, 0.05, 0.07, 0.06, 0.06, 0.03, 0.03, 0.01, 0.02, 0.04, 0.04, 0.09, 0.03, 0.04, 0.04, 0.08, 0.07]","[0.10204 0.14286 0.12245 0.12245 0.14286 0.12245 0.12245 0.02041 0.04082
 0.06122]","[0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]","[0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 0, 0, 0]","[5, 1, 0, 1, 3, 1, 5, 1, 3, 0, 1, 1, 1, 0, 7, 2, 2, 0, 6, 0, 1, 1, 8, 0, 0]","[0.1, 0.02, 0.0, 0.02, 0.06, 0.02, 0.1, 0.02, 0.06, 0.0, 0.02, 0.02, 0.02, 0.0, 0.14, 0.04, 0.04, 0.0, 0.12, 0.0, 0.02, 0.02, 0.16, 0.0, 0.0]","(1, 1, 0, 0, 1)","(1, 1, 0, 1, 0)","(1, 1, 0, 1, 0)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(0, 1, 0, 1, 1)","(1, 1, 0, 0, 1)","(0, 1, 0, 1, 1)","(1, 0, 1, 0, 1)","(0, 1, 0, 1, 1)"
"[(2, 4, 3, 0, 1), (0, 1, 3, 2, 4), (1, 0, 3, 2, 4), (4, 2, 3, 0, 1), (1, 0, 3, 2, 4), (3, 2, 4, 0, 1), (0, 1, 3, 2, 4), (0, 1, 3, 2, 4), (2, 3, 4, 0, 1), (1, 0, 3, 2, 4)]","(1, 1, 0, 1, 0)",0,"[0, 7, 6, 6, 6, 3, 0, 6, 6, 6, 4, 4, 0, 3, 9, 4, 4, 7, 0, 8, 4, 4, 1, 2, 0]","[0.0, 0.07, 0.06, 0.06, 0.06, 0.03, 0.0, 0.06, 0.06, 0.06, 0.04, 0.04, 0.0, 0.03, 0.09, 0.04, 0.04, 0.07, 0.0, 0.08, 0.04, 0.04, 0.01, 0.02, 0.0]","[7, 6, 6, 6, 3, 6, 6, 6, 4, 4, 3, 9, 4, 4, 7, 8, 4, 4, 1, 2]","[0.07, 0.06, 0.06, 0.06, 0.03, 0.06, 0.06, 0.06, 0.04, 0.04, 0.03, 0.09, 0.04, 0.04, 0.07, 0.08, 0.04, 0.04, 0.01, 0.02]","[0.11111 0.09524 0.09524 0.09524 0.09524 0.09524 0.09524 0.04762 0.14286
 0.12698]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[3, 3, 0, 4, 0, 3, 3, 0, 0, 4, 2, 2, 0, 6, 0, 1, 1, 8, 0, 0, 1, 1, 2, 0, 6]","[0.06, 0.06, 0.0, 0.08, 0.0, 0.06, 0.06, 0.0, 0.0, 0.08, 0.04, 0.04, 0.0, 0.12, 0.0, 0.02, 0.02, 0.16, 0.0, 0.0, 0.02, 0.02, 0.04, 0.0, 0.12]","(1, 1, 0, 1, 0)","(1, 1, 1, 0, 0)","(1, 1, 1, 0, 0)","(1, 1, 0, 1, 0)","(0, 1, 0, 1, 1)","(0, 0, 1, 1, 1)","(0, 1, 0, 1, 1)","(1, 1, 0, 1, 0)","(0, 1, 0, 1, 1)","(1, 0, 1, 1, 0)","(0, 1, 0, 1, 1)"
"[(0, 2, 4, 1, 3), (2, 3, 0, 4, 1), (2, 0, 4, 3, 1), (4, 0, 1, 2, 3), (4, 0, 2, 3, 1), (1, 4, 0, 2, 3), (1, 4, 0, 2, 3), (1, 4, 0, 2, 3), (0, 4, 2, 1, 3), (1, 4, 0, 2, 3)]","(1, 1, 0, 0, 1)",0,"[0, 6, 8, 9, 4, 4, 0, 5, 7, 4, 2, 5, 0, 10, 3, 1, 3, 0, 0, 1, 6, 6, 7, 9, 0]","[0.0, 0.06, 0.08, 0.09, 0.04, 0.04, 0.0, 0.05, 0.07, 0.04, 0.02, 0.05, 0.0, 0.1, 0.03, 0.01, 0.03, 0.0, 0.0, 0.01, 0.06, 0.06, 0.07, 0.09, 0.0]","[6, 8, 9, 4, 4, 5, 7, 4, 2, 5, 10, 3, 1, 3, 0, 1, 6, 6, 7, 9]","[0.06, 0.08, 0.09, 0.04, 0.04, 0.05, 0.07, 0.04, 0.02, 0.05, 0.1, 0.03, 0.01, 0.03, 0.0, 0.01, 0.06, 0.06, 0.07, 0.09]","[0.10526 0.14035 0.15789 0.07018 0.08772 0.12281 0.07018 0.17544 0.05263
 0.01754]","[0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]","[1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 1, 0, 0]","[2, 3, 5, 0, 0, 4, 0, 1, 2, 3, 2, 1, 2, 5, 0, 0, 1, 0, 2, 7, 2, 5, 2, 1, 0]","[0.04, 0.06, 0.1, 0.0, 0.0, 0.08, 0.0, 0.02, 0.04, 0.06, 0.04, 0.02, 0.04, 0.1, 0.0, 0.0, 0.02, 0.0, 0.04, 0.14, 0.04, 0.1, 0.04, 0.02, 0.0]","(1, 1, 0, 0, 1)","(1, 1, 1, 0, 0)","(1, 1, 0, 0, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(1, 1, 1, 0, 0)","(0, 1, 1, 0, 1)","(1, 1, 0, 0, 1)","(1, 0, 0, 1, 1)"
"[(3, 2, 0, 4, 1), (1, 4, 0, 2, 3), (3, 2, 0, 4, 1), (0, 2, 4, 1, 3), (4, 1, 0, 2, 3), (3, 2, 0, 4, 1), (1, 4, 0, 2, 3), (4, 1, 0, 2, 3), (1, 4, 0, 2, 3), (3, 2, 0, 4, 1)]","(1, 1, 0, 0, 1)",2,"[0, 5, 6, 6, 5, 5, 0, 5, 6, 3, 4, 5, 0, 6, 5, 4, 4, 4, 0, 4, 5, 7, 5, 6, 0]","[0.0, 0.05, 0.06, 0.06, 0.05, 0.05, 0.0, 0.05, 0.06, 0.03, 0.04, 0.05, 0.0, 0.06, 0.05, 0.04, 0.04, 0.04, 0.0, 0.04, 0.05, 0.07, 0.05, 0.06, 0.0]","[5, 6, 6, 5, 5, 5, 6, 3, 4, 5, 6, 5, 4, 4, 4, 4, 5, 7, 5, 6]","[0.05, 0.06, 0.06, 0.05, 0.05, 0.05, 0.06, 0.03, 0.04, 0.05, 0.06, 0.05, 0.04, 0.04, 0.04, 0.04, 0.05, 0.07, 0.05, 0.06]","[0.09804 0.11765 0.11765 0.09804 0.09804 0.11765 0.05882 0.11765 0.09804
 0.07843]","[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 1, 1, 0, 0, 1, 0, 1, 0, 0]","[1, 0, 9, 0, 0, 3, 2, 0, 1, 4, 0, 5, 0, 5, 0, 4, 0, 0, 0, 6, 2, 3, 1, 4, 0]","[0.02, 0.0, 0.18, 0.0, 0.0, 0.06, 0.04, 0.0, 0.02, 0.08, 0.0, 0.1, 0.0, 0.1, 0.0, 0.08, 0.0, 0.0, 0.0, 0.12, 0.04, 0.06, 0.02, 0.08, 0.0]","(1, 0, 1, 0, 1)","(0, 1, 0, 1, 1)","(0, 1, 0, 1, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(1, 1, 1, 0, 0)","(0, 1, 0, 1, 1)","(1, 1, 1, 0, 0)","(1, 0, 0, 1, 1)"
"[(3, 0, 2, 1, 4), (2, 1, 0, 3, 4), (0, 2, 3, 1, 4), (0, 3, 2, 1, 4), (4, 1, 2, 0, 3), (4, 1, 2, 0, 3), (2, 0, 1, 3, 4), (0, 3, 2, 1, 4), (0, 2, 3, 1, 4), (4, 1, 2, 0, 3)]","(1, 1, 1, 0, 0)",1,"[0, 6, 5, 9, 7, 4, 0, 3, 5, 7, 5, 7, 0, 7, 7, 1, 5, 3, 0, 7, 3, 3, 3, 3, 0]","[0.0, 0.06, 0.05, 0.09, 0.07, 0.04, 0.0, 0.03, 0.05, 0.07, 0.05, 0.07, 0.0, 0.07, 0.07, 0.01, 0.05, 0.03, 0.0, 0.07, 0.03, 0.03, 0.03, 0.03, 0.0]","[6, 5, 9, 7, 4, 3, 5, 7, 5, 7, 7, 7, 1, 5, 3, 7, 3, 3, 3, 3]","[0.06, 0.05, 0.09, 0.07, 0.04, 0.03, 0.05, 0.07, 0.05, 0.07, 0.07, 0.07, 0.01, 0.05, 0.03, 0.07, 0.03, 0.03, 0.03, 0.03]","[0.09524 0.07937 0.14286 0.11111 0.04762 0.07937 0.11111 0.11111 0.11111
 0.11111]","[0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 0, 1, 1, 1, 1]","[4, 2, 1, 3, 0, 0, 4, 1, 5, 0, 2, 2, 6, 0, 0, 1, 2, 2, 2, 3, 3, 0, 0, 0, 7]","[0.08, 0.04, 0.02, 0.06, 0.0, 0.0, 0.08, 0.02, 0.1, 0.0, 0.04, 0.04, 0.12, 0.0, 0.0, 0.02, 0.04, 0.04, 0.04, 0.06, 0.06, 0.0, 0.0, 0.0, 0.14]","(1, 1, 1, 0, 0)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 1, 0)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(0, 1, 1, 1, 0)"
"[(2, 3, 0, 1, 4), (3, 2, 0, 1, 4), (3, 0, 1, 4, 2), (4, 1, 0, 3, 2), (4, 1, 0, 3, 2), (2, 3, 0, 1, 4), (1, 0, 3, 2, 4), (4, 1, 0, 3, 2), (4, 1, 0, 3, 2), (3, 2, 0, 1, 4)]","(0, 0, 1, 1, 1)",2,"[0, 5, 6, 5, 6, 5, 0, 6, 5, 6, 4, 4, 0, 2, 5, 5, 5, 8, 0, 6, 4, 4, 5, 4, 0]","[0.0, 0.05, 0.06, 0.05, 0.06, 0.05, 0.0, 0.06, 0.05, 0.06, 0.04, 0.04, 0.0, 0.02, 0.05, 0.05, 0.05, 0.08, 0.0, 0.06, 0.04, 0.04, 0.05, 0.04, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 4, 4, 2, 5, 5, 5, 8, 6, 4, 4, 5, 4]","[0.05, 0.06, 0.05, 0.06, 0.05, 0.06, 0.05, 0.06, 0.04, 0.04, 0.02, 0.05, 0.05, 0.05, 0.08, 0.06, 0.04, 0.04, 0.05, 0.04]","[0.09615 0.11538 0.09615 0.11538 0.11538 0.09615 0.11538 0.03846 0.09615
 0.11538]","[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 1, 1, 0, 1, 0, 0, 1]","[0, 2, 8, 0, 0, 1, 4, 1, 4, 0, 2, 2, 0, 1, 5, 3, 2, 1, 4, 0, 4, 0, 0, 1, 5]","[0.0, 0.04, 0.16, 0.0, 0.0, 0.02, 0.08, 0.02, 0.08, 0.0, 0.04, 0.04, 0.0, 0.02, 0.1, 0.06, 0.04, 0.02, 0.08, 0.0, 0.08, 0.0, 0.0, 0.02, 0.1]","(1, 1, 0, 1, 0)","(0, 0, 1, 1, 1)","(0, 1, 0, 1, 1)","(1, 1, 0, 1, 0)","(1, 1, 0, 1, 0)","(0, 0, 1, 1, 1)","(1, 1, 0, 1, 0)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(1, 0, 0, 1, 1)"
"[(4, 0, 2, 3, 1), (1, 3, 2, 0, 4), (3, 2, 0, 4, 1), (3, 2, 1, 0, 4), (2, 0, 4, 3, 1), (0, 4, 2, 3, 1), (4, 0, 2, 3, 1), (0, 4, 2, 3, 1), (3, 1, 2, 0, 4), (3, 2, 0, 1, 4)]","(1, 0, 1, 1, 0)",0,"[0, 7, 4, 5, 8, 3, 0, 2, 1, 4, 6, 8, 0, 5, 6, 5, 9, 5, 0, 5, 2, 6, 4, 5, 0]","[0.0, 0.07, 0.04, 0.05, 0.08, 0.03, 0.0, 0.02, 0.01, 0.04, 0.06, 0.08, 0.0, 0.05, 0.06, 0.05, 0.09, 0.05, 0.0, 0.05, 0.02, 0.06, 0.04, 0.05, 0.0]","[7, 4, 5, 8, 3, 2, 1, 4, 6, 8, 5, 6, 5, 9, 5, 5, 2, 6, 4, 5]","[0.07, 0.04, 0.05, 0.08, 0.03, 0.02, 0.01, 0.04, 0.06, 0.08, 0.05, 0.06, 0.05, 0.09, 0.05, 0.05, 0.02, 0.06, 0.04, 0.05]","[0.14894 0.08511 0.10638 0.17021 0.04255 0.02128 0.08511 0.10638 0.12766
 0.10638]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[2, 3, 2, 3, 0, 1, 1, 1, 1, 6, 1, 3, 6, 0, 0, 4, 1, 0, 5, 0, 2, 2, 1, 1, 4]","[0.04, 0.06, 0.04, 0.06, 0.0, 0.02, 0.02, 0.02, 0.02, 0.12, 0.02, 0.06, 0.12, 0.0, 0.0, 0.08, 0.02, 0.0, 0.1, 0.0, 0.04, 0.04, 0.02, 0.02, 0.08]","(1, 0, 1, 1, 0)","(1, 0, 0, 1, 1)","(1, 0, 1, 1, 0)","(1, 0, 1, 0, 1)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","(1, 0, 1, 1, 0)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)"
"[(2, 1, 0, 4, 3), (2, 1, 0, 4, 3), (2, 1, 0, 4, 3), (1, 2, 0, 4, 3), (0, 2, 1, 4, 3), (3, 4, 0, 2, 1), (4, 3, 0, 2, 1), (2, 1, 0, 4, 3), (3, 4, 0, 2, 1), (3, 4, 0, 2, 1)]","(1, 1, 1, 0, 0)",1,"[0, 5, 5, 6, 6, 5, 0, 1, 6, 6, 5, 9, 0, 6, 6, 4, 4, 4, 0, 3, 4, 4, 4, 7, 0]","[0.0, 0.05, 0.05, 0.06, 0.06, 0.05, 0.0, 0.01, 0.06, 0.06, 0.05, 0.09, 0.0, 0.06, 0.06, 0.04, 0.04, 0.04, 0.0, 0.03, 0.04, 0.04, 0.04, 0.07, 0.0]","[5, 5, 6, 6, 5, 1, 6, 6, 5, 9, 6, 6, 4, 4, 4, 3, 4, 4, 4, 7]","[0.05, 0.05, 0.06, 0.06, 0.05, 0.01, 0.06, 0.06, 0.05, 0.09, 0.06, 0.06, 0.04, 0.04, 0.04, 0.03, 0.04, 0.04, 0.04, 0.07]",[0.1  0.1  0.12 0.12 0.02 0.12 0.12 0.12 0.12 0.06],"[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 1, 1, 0, 1, 1, 1, 1, 0]","[1, 0, 9, 0, 0, 1, 4, 1, 0, 4, 4, 2, 0, 4, 0, 3, 1, 0, 0, 6, 1, 3, 0, 6, 0]","[0.02, 0.0, 0.18, 0.0, 0.0, 0.02, 0.08, 0.02, 0.0, 0.08, 0.08, 0.04, 0.0, 0.08, 0.0, 0.06, 0.02, 0.0, 0.0, 0.12, 0.02, 0.06, 0.0, 0.12, 0.0]","(1, 0, 1, 0, 1)","(1, 0, 1, 1, 0)","(0, 1, 1, 1, 0)","(1, 1, 1, 0, 0)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(1, 1, 1, 0, 0)","(0, 1, 1, 0, 1)","(1, 1, 0, 1, 0)","(1, 0, 1, 0, 1)"
"[(4, 2, 0, 1, 3), (4, 0, 2, 3, 1), (2, 4, 0, 3, 1), (2, 4, 0, 3, 1), (1, 2, 4, 0, 3), (4, 2, 0, 3, 1), (3, 0, 4, 2, 1), (3, 0, 4, 2, 1), (2, 4, 0, 3, 1), (2, 4, 0, 1, 3)]","(1, 0, 1, 0, 1)",0,"[0, 9, 3, 8, 2, 1, 0, 1, 3, 1, 7, 9, 0, 8, 5, 2, 7, 2, 0, 2, 8, 9, 5, 8, 0]","[0.0, 0.09, 0.03, 0.08, 0.02, 0.01, 0.0, 0.01, 0.03, 0.01, 0.07, 0.09, 0.0, 0.08, 0.05, 0.02, 0.07, 0.02, 0.0, 0.02, 0.08, 0.09, 0.05, 0.08, 0.0]","[9, 3, 8, 2, 1, 1, 3, 1, 7, 9, 8, 5, 2, 7, 2, 2, 8, 9, 5, 8]","[0.09, 0.03, 0.08, 0.02, 0.01, 0.01, 0.03, 0.01, 0.07, 0.09, 0.08, 0.05, 0.02, 0.07, 0.02, 0.02, 0.08, 0.09, 0.05, 0.08]","[0.21429 0.07143 0.19048 0.04762 0.02381 0.07143 0.02381 0.19048 0.11905
 0.04762]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0]","[1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]","[1, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 3, 6, 1, 0, 1, 0, 0, 2, 7, 4, 3, 1, 2, 0, 2, 0, 0, 5, 3, 3, 4, 3, 0, 0]","[0.0, 0.06, 0.12, 0.02, 0.0, 0.02, 0.0, 0.0, 0.04, 0.14, 0.08, 0.06, 0.02, 0.04, 0.0, 0.04, 0.0, 0.0, 0.1, 0.06, 0.06, 0.08, 0.06, 0.0, 0.0]","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(1, 1, 0, 0, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)"
"[(1, 0, 3, 2, 4), (1, 0, 3, 2, 4), (2, 4, 3, 1, 0), (2, 3, 1, 4, 0), (0, 1, 3, 2, 4), (1, 0, 3, 2, 4), (4, 2, 3, 1, 0), (4, 2, 3, 1, 0), (3, 2, 1, 4, 0), (1, 0, 3, 2, 4)]","(1, 1, 0, 1, 0)",0,"[0, 1, 5, 5, 5, 9, 0, 5, 5, 7, 5, 5, 0, 4, 8, 5, 5, 6, 0, 7, 5, 3, 2, 3, 0]","[0.0, 0.01, 0.05, 0.05, 0.05, 0.09, 0.0, 0.05, 0.05, 0.07, 0.05, 0.05, 0.0, 0.04, 0.08, 0.05, 0.05, 0.06, 0.0, 0.07, 0.05, 0.03, 0.02, 0.03, 0.0]","[1, 5, 5, 5, 9, 5, 5, 7, 5, 5, 4, 8, 5, 5, 6, 7, 5, 3, 2, 3]","[0.01, 0.05, 0.05, 0.05, 0.09, 0.05, 0.05, 0.07, 0.05, 0.05, 0.04, 0.08, 0.05, 0.05, 0.06, 0.07, 0.05, 0.03, 0.02, 0.03]","[0.01923 0.09615 0.09615 0.09615 0.09615 0.09615 0.13462 0.07692 0.15385
 0.13462]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]","[1, 4, 0, 0, 5, 4, 1, 2, 3, 0, 2, 3, 0, 5, 0, 1, 1, 8, 0, 0, 2, 1, 0, 2, 5]","[0.02, 0.08, 0.0, 0.0, 0.1, 0.08, 0.02, 0.04, 0.06, 0.0, 0.04, 0.06, 0.0, 0.1, 0.0, 0.02, 0.02, 0.16, 0.0, 0.0, 0.04, 0.02, 0.0, 0.04, 0.1]","(0, 1, 1, 1, 0)","(0, 1, 1, 0, 1)","(1, 1, 1, 0, 0)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 0, 1, 1, 1)","(0, 1, 1, 1, 0)","(1, 1, 0, 1, 0)","(0, 1, 0, 1, 1)","(0, 1, 1, 1, 0)","(0, 1, 0, 1, 1)"
